idx,hidden
0,"(0, 0, 0)"
1,"(0, 0, 1)"
2,"(0, 0, 2)"
3,"(1, 0, 0)"
4,"(1, 0, 1)"
5,"(1, 0, 2)"
6,"(1, 1, 1)"
7,"(1, 1, 2)"
8,"(1, 2, 2)"
9,"(2, 0, 0)"
10,"(2, 0, 1)"
11,"(2, 0, 2)"
12,"(2, 1, 1)"
13,"(2, 1, 2)"
14,"(2, 2, 2)"
15,"(3, 0, 0)"
16,"(3, 0, 1)"
17,"(3, 0, 2)"
18,"(3, 1, 1)"
19,"(3, 1, 2)"
20,"(3, 2, 2)"
21,"(4, 0, 0)"
22,"(4, 0, 1)"
23,"(4, 0, 2)"
